SNID,Bad Sub,Overmasked,PSF in temp,Marginal at best,Good,Missing,Notes
672558,1,0,0,0,0,0,None
658798,1,0,0,0,0,0,None
625296,1,0,0,0,0,0,None
629072,0,0,1,0,0,0,None
625152,0,0,1,0,0,0,None
633432,1,0,0,0,0,0,None
695722,0,0,0,0,0,1,None
628380,1,0,0,0,0,0,None
659132,1,0,0,0,0,0,Asteroid
659683,1,0,0,0,0,0,None
